asset_id,asset_type,region,acquisition_date,acquisition_value,book_value
AST-0423,Office Fitout,Middle East,2020-01-26,161705.16,76998.24
AST-0424,Server Rack,North America,2023-11-01,602565.5,468515.31
AST-0425,Excavator,LATAM,2022-04-27,346554.43,227453.64
AST-0426,Forklift,APAC,2020-06-10,30649.18,15507.65
AST-0427,Office Fitout,LATAM,2023-07-13,495758.9,373408.32
AST-0428,Office Fitout,North America,2018-08-27,256745.2,93159.82
AST-0429,Delivery Van,Middle East,2024-03-29,821776.74,665796.76
AST-0430,Server Rack,North America,2024-05-21,399180.91,328050.15
AST-0431,Forklift,EMEA,2019-05-30,379654.34,160723.8
AST-0432,Office Fitout,Middle East,2021-10-19,378789.9,232836.44
AST-0433,Generator,APAC,2019-12-06,80670.32,37510.59
AST-0434,Delivery Van,North America,2025-10-17,200012.67,186904.99
AST-0435,Forklift,Middle East,2022-06-30,441253.54,295797.03
AST-0436,Server Rack,APAC,2018-12-27,440809.97,171734.73
AST-0437,Delivery Van,EMEA,2020-06-24,622361.55,316807.61
AST-0438,Generator,EMEA,2024-12-21,100841.78,87602.5
AST-0439,Delivery Van,North America,2022-01-13,159871.68,101284.18
AST-0440,Fleet Truck,LATAM,2024-08-15,162917.02,136957.42
AST-0441,Fleet Truck,Middle East,2023-08-14,644962.26,490312.68
AST-0442,Server Rack,APAC,2026-01-07,551898.18,525649.0
AST-0443,Forklift,LATAM,2023-01-28,141049.43,101107.32
AST-0444,Generator,APAC,2025-09-26,384243.73,357294.03
AST-0445,Server Rack,Middle East,2025-04-18,508835.5,455191.69
AST-0446,Fleet Truck,LATAM,2023-03-17,76949.2,55968.42
AST-0447,Server Rack,APAC,2024-01-03,46402.05,36719.91
AST-0448,Forklift,Middle East,2022-05-25,79070.39,52381.43
AST-0449,Office Fitout,LATAM,2024-11-02,511056.65,438472.6
AST-0450,Excavator,LATAM,2022-09-20,499575.06,343871.89
AST-0451,Crane,APAC,2025-05-04,774056.71,695166.55
AST-0452,Delivery Van,North America,2024-03-09,520179.87,419165.21
AST-0453,Server Rack,North America,2022-03-04,391186.8,252117.21
AST-0454,Delivery Van,North America,2020-07-21,436298.42,224675.76
AST-0455,Fleet Truck,LATAM,2020-06-19,221866.01,112695.78
AST-0456,Delivery Van,APAC,2023-05-24,452597.24,335938.75
AST-0457,Generator,LATAM,2024-05-09,326331.41,267323.54
AST-0458,Server Rack,Middle East,2022-07-09,356322.45,239565.83
AST-0459,Server Rack,North America,2023-04-24,58725.21,43202.45
AST-0460,Office Fitout,APAC,2020-09-02,290291.78,152224.24
AST-0461,Delivery Van,APAC,2019-03-12,225416.48,91525.27
AST-0462,Delivery Van,APAC,2020-10-02,83054.16,44098.35
AST-0463,Office Fitout,EMEA,2020-08-25,274043.5,143223.39
AST-0464,Forklift,APAC,2021-01-03,511859.43,282209.84
AST-0465,Server Rack,EMEA,2022-08-30,481699.93,329350.78
AST-0466,Forklift,LATAM,2019-08-26,574547.19,254311.9
AST-0467,Excavator,APAC,2020-05-06,439587.89,219047.25
AST-0468,Crane,APAC,2023-10-25,272903.17,211772.86
AST-0469,Fleet Truck,EMEA,2023-11-28,806303.0,631699.74
AST-0470,Delivery Van,EMEA,2019-02-03,204163.44,81240.27
AST-0471,Forklift,Middle East,2021-09-01,79432.85,47990.5
AST-0472,Excavator,APAC,2022-09-06,658680.39,451367.5
AST-0473,Delivery Van,Middle East,2021-09-23,746787.97,454783.64
AST-0474,Delivery Van,EMEA,2020-02-29,329561.09,159381.16
AST-0475,Delivery Van,LATAM,2021-10-05,709173.12,433741.94
AST-0476,Server Rack,EMEA,2025-05-25,51483.18,46473.09
AST-0477,Generator,LATAM,2022-12-28,824606.48,585493.19
AST-0478,Crane,APAC,2023-10-30,210392.46,163495.12
AST-0479,Fleet Truck,EMEA,2025-01-13,821273.19,717590.26
AST-0480,Fleet Truck,LATAM,2024-05-08,322147.2,263825.32
AST-0481,Office Fitout,Middle East,2021-06-18,657481.19,386418.81
AST-0482,Delivery Van,EMEA,2018-08-28,455428.92,165351.89
AST-0483,Delivery Van,APAC,2021-04-01,684051.45,390340.37
AST-0484,Fleet Truck,APAC,2024-04-05,58570.14,47542.91
AST-0485,Forklift,Middle East,2025-01-04,478041.52,416747.43
AST-0486,Generator,North America,2025-10-05,725723.65,676255.14
AST-0487,Generator,LATAM,2021-10-02,652202.55,398468.96
AST-0488,Delivery Van,LATAM,2024-03-20,770930.68,623080.96
AST-0489,Crane,LATAM,2022-09-15,91580.83,62937.36
AST-0490,Excavator,LATAM,2023-02-19,753665.86,543878.32
AST-0491,Server Rack,EMEA,2020-04-07,59469.5,29255.74
AST-0492,Forklift,APAC,2020-04-03,337448.71,165710.43
AST-0493,Server Rack,North America,2021-11-17,202489.86,125754.52
AST-0494,Server Rack,EMEA,2018-10-30,715712.2,269735.26
AST-0495,Generator,LATAM,2021-02-17,129895.66,72898.16
AST-0496,Delivery Van,LATAM,2023-09-15,596220.11,457439.67
AST-0497,Excavator,North America,2021-08-23,389582.23,234603.22
AST-0498,Crane,EMEA,2019-11-07,30868.24,14157.11
AST-0499,Office Fitout,North America,2022-02-12,473251.54,302932.85
AST-0500,Crane,APAC,2019-07-27,663104.15,289149.74
